product_id,score,element_name,name,price,case_power_standard,power_w,price_stc
5574188022,0.01285666064,power,인핸스 ENP-7025B,70000,FLEXATX,250,-0.09776400991
6306362798,0.7238542526,power,FSP400-60GHS(85),60000,MATX,400,-0.2549164241
7558288571,0.6276641801,power,에이원 태왕 TFX-450T KC,19000,TFX,450,-0.8992413222
7656739989,0.6612867452,power,스카이디지탈 파워스테이션4 PS4-350M 86P,44000,MATX,350,-0.5063602868
7659448573,0.6431785225,power,스카이디지탈 파워스테이션4 PS4-350T 86P,46000,TFX,350,-0.4749298039
7659448573,0.6431785225,power,스카이디지탈 파워스테이션4 PS4-350T 86P,46000,TFX,350,-0.4749298039
7712317917,0.6528801272,power,에이원 Micro 450P KC,13900,MATX,450,-0.9793890534
7827987910,0.676700299,power,마이크로닉스 Compact SFX 350W 80Plus 브론즈,57000,MATX,350,-0.3020621483
7840880828,0.7016801803,power,마이크로닉스 Compact SFX 300W 80Plus 브론즈,48500,MATX,300,-0.4356417004
8220112163,0.2441130864,power,에이원 TFX-500P KC,26740,TFX,500,-0.7776053536
8395973166,0.5811525242,power,에이원 TFX-450P KC,20000,TFX,450,-0.8835260808
8409530635,0.6967176983,power,에이원 Micro 500P KC,22260,MATX,500,-0.8480096352
8585468758,0.5445983725,power,에너지옵티머스 Mach III 500K V2.3,27940,ATX,500,-0.7587470639
8585468758,0.5445983725,power,에너지옵티머스 Mach III 500K V2.3,27940,ATX,500,-0.7587470639
8656844963,0.6076228684,power,슈퍼플라워 SF-650F14MT LEADEX SILVER,88990,ATX,650,0.2006684246
9293630784,0.6709472327,power,한미마이크로닉스 마이크로닉스 Compact TFX 350W 80Plus EU standard,35590,TFX,350,-0.6385254671
10732857343,0.7013948738,power,한미마이크로닉스 COOLMAX FOCUS 500W 80Plus 230V EU,41500,ATX,500,-0.5456483903
10732864683,0.671804476,power,한미마이크로닉스 COOLMAX  FOCUS 600W 80Plus 230V EU,48000,ATX,600,-0.4434993211
11525475569,0.7044570517,power,안텍 NeoECO NE550C 80PLUS BRONZE,65390,ATX,550,-0.1702112728
12722971399,0.6090510934,power,컬러풀 CROSSFEED CF-G1250WN 80Plus PLATINUM,38590,ATX,1250,-0.5913797428
12916447700,0.7473063141,power,FSP HYDRO K 600W 80PLUS BRONZE 230V EU,69000,ATX,600,-0.1134792513
13392714333,0.7741464036,power,FSP HEXA 85+ 650W 80PLUS BRONZE 프리볼트,77000,ATX,650,0.01224268001
14184332890,0.5469149182,power,안텍 EAG PRO 750W 80PLUS GOLD 모듈러,117800,ATX,750,0.6534245298
14627225437,0.4699462882,power,잘만테크 EcoMax 500W 83+,31640,ATX,500,-0.7006006707
15008650195,0.7399271472,power,앱코 수트마스터 Mighty 500W 80PLUS Standard 230EU,43500,ATX,500,-0.5142179075
15008946639,0.7876719234,power,앱코 수트마스터 Mighty 600W 80PLUS Standard 230EU,53500,ATX,600,-0.3570654933
16972371156,0.7156619858,power,쿨맥스 TAURUS 700W 80Plus Bronze 230V EU,67500,ATX,700,-0.1370521135
18903942776,0.5880754389,power,마이크로닉스 Compact SFX 450W 80Plus 브론즈,78000,MATX,450,0.02795792142
18903986928,0.748233116,power,마이크로닉스 Compact SFX 400W 80Plus 브론즈,67000,MATX,400,-0.1449097342
18987622534,0.7241126185,power,안텍 NeoECO NE650C 80PLUS BRONZE,77970,ATX,650,0.02748646418
20020967149,0.7454302255,power,한미마이크로닉스 마이크로닉스 Classic II 800W 80PLUS 230V EU,86500,ATX,800,0.1615374735
20034783639,0.8195638487,power,시소닉 S12III Bronze SSR-650GB3 Single Rail,75000,ATX,650,-0.01918780283
20034783640,0.8007332118,power,시소닉 S12III Bronze SSR-550GB3 Single Rail,65000,ATX,550,-0.176340217
20270682901,0.6617400968,power,FSP HYDRO PRO 700W 80PLUS Bronze 230V EU,82000,ATX,700,0.09081888709
20270682902,0.6555040102,power,FSP HYDRO PRO 600W 80PLUS Bronze 230V EU,74000,ATX,600,-0.03490304424
20431043138,0.6900524991,power,앱코 수트마스터 SETTLER 600W 80PLUS Standard 230V EU,54000,ATX,600,-0.3492078726
20448102963,0.7717498698,power,맥스엘리트 맥스웰 GAMING PRO 600W 80PLUS STANDARD 플랫,46000,ATX,600,-0.4749298039
20849843325,0.6855968652,power,쿨러마스터 MWE 500 WHITE 230V V2,46520,ATX,500,-0.4667578784
20849843327,0.7352763957,power,쿨러마스터 MWE 700 WHITE 230V V2,72000,ATX,700,-0.06633352708
20849843328,0.7578559895,power,쿨러마스터 MWE 650 WHITE 230V V2,63500,ATX,650,-0.1999130791
20849843329,0.6808525802,power,쿨러마스터 MWE 600 WHITE 230V V2,57410,ATX,600,-0.2956188994
20849843330,0.639933319,power,쿨러마스터 MWE 750 WHITE 230V V2,78000,ATX,750,0.02795792142
20915133895,0.690091855,power,에너맥스 REVOLUTION D.F. ERF750EWT 80Plus Gold Full Modular,135000,ATX,750,0.9237266822
20958216775,0.8001873999,power,시소닉 FOCUS GOLD GX-750 Full Modular,151000,ATX,750,1.175170545
20959418835,0.8502104985,power,시소닉 FOCUS GOLD GX-750 WHITE Full Modular,157000,ATX,750,1.269461993
20959520079,0.8927671851,power,시소닉 FOCUS GOLD GX-850 WHITE Full Modular,178000,ATX,850,1.599482063
20959636368,0.6919468016,power,시소닉 FOCUS GOLD GX-1000 Full Modular,228000,ATX,1000,2.385244134
21176246571,0.8011304653,power,FSP HYDRO G PRO 850W 80PLUS Gold Full Modular,154000,ATX,850,1.222316269
21195008853,0.7454333867,power,시소닉 FOCUS GOLD GM-750 Modular,119000,ATX,750,0.6722828195
21337580480,0.6329233001,power,에너지옵티머스 EXCEL 600W 85+,35500,ATX,600,-0.6399398388
21337626931,0.2053955272,power,에너지옵티머스 EXCEL 700W 85+,42030,ATX,700,-0.5373193123
21386335648,0.6452972795,power,잘만테크 GigaMax 750W 80PLUS Bronze 230V EU,72990,ATX,750,-0.05077543808
21595287389,0.6851313886,power,잘만테크 MegaMax 700W 80PLUS STANDARD,59000,ATX,700,-0.2706316655
21595287390,0.7605060073,power,잘만테크 MegaMax 600W 80PLUS STANDARD,48000,ATX,600,-0.4434993211
21595287391,0.7227264396,power,잘만테크 MegaMax 500W 80PLUS STANDARD,38000,ATX,500,-0.6006517353
21798096871,0.82596044,power,시소닉 CORE GOLD GX-650 Full Modular,114000,ATX,650,0.5937066124
21894974892,0.6992286103,power,에너맥스 MAXPRO II EMP600AGT-C 80Plus Standard 230V EU,56000,ATX,600,-0.3177773898
21894974894,0.6767806884,power,에너맥스 MAXPRO II EMP500AGT-C 80Plus Standard 230V EU,46000,ATX,500,-0.4749298039
21918488651,0.7947852789,power,시소닉 FOCUS GOLD GM-850 Modular,141000,ATX,850,1.018018131
22276779974,0.7625187701,power,시소닉 PRIME TITANIUM TX-1000 Full Modular,454000,ATX,1000,5.936888694
23268913490,0.4223729968,power,스카이디지탈 PS5-600SV 80PLUS Silver,69000,ATX,600,-0.1134792513
23979829523,0.8579624891,power,DEEPCOOL DQ750-M-V2L 80Plus Gold Full Modular,98000,ATX,750,0.3422627498
